epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,59.6471,0.79485,1.19461,1.22208,0.87054,0.5,0.415,0.11348,2.42683,3.20015,2.65279,0.00109334,0.00109334,0.00109334
98,60.2205,0.88272,1.09905,0.97792,0.87054,0.5,0.415,0.11348,2.42683,3.20015,2.65279,0.00109939,0.00109939,0.00109939
99,60.8375,0.65433,1.14242,0.98168,0.87054,0.5,0.415,0.11348,2.42683,3.20015,2.65279,0.00110533,0.00110533,0.00110533
100,61.4384,0.61444,0.88707,1.10618,0.89349,0.16667,0.19735,0.04212,2.59763,3.40191,2.97257,0.00111117,0.00111117,0.00111117
101,62.0252,1.33626,1.54585,1.28463,0.89349,0.16667,0.19735,0.04212,2.59763,3.40191,2.97257,0.00111689,0.00111689,0.00111689
102,62.574,0.87835,1.3434,1.45274,0.89349,0.16667,0.19735,0.04212,2.59763,3.40191,2.97257,0.00111139,0.00111139,0.00111139
103,63.2069,1.36815,1.8214,1.25069,0.89349,0.16667,0.19735,0.04212,2.59763,3.40191,2.97257,0.00110589,0.00110589,0.00110589
104,63.8162,1.03556,1.11918,1.09677,0.86274,0.33333,0.38788,0.08648,2.60149,3.44593,2.91434,0.00110039,0.00110039,0.00110039
105,64.4168,0.97742,1.36868,1.23647,0.86274,0.33333,0.38788,0.08648,2.60149,3.44593,2.91434,0.00109489,0.00109489,0.00109489
106,65.2452,1.00999,1.51131,1.45267,0.86274,0.33333,0.38788,0.08648,2.60149,3.44593,2.91434,0.00108938,0.00108938,0.00108938
107,66.0915,1.47429,1.8354,1.64535,0.86274,0.33333,0.38788,0.08648,2.60149,3.44593,2.91434,0.00108388,0.00108388,0.00108388
108,67.2147,1.11629,1.66453,1.43269,0.54496,0.5,0.24471,0.09322,2.2897,3.52363,2.74591,0.00107838,0.00107838,0.00107838
109,68.0013,0.70819,1.1014,1.07794,0.54496,0.5,0.24471,0.09322,2.2897,3.52363,2.74591,0.00107288,0.00107288,0.00107288
110,68.6798,1.05055,1.62615,1.46674,0.54496,0.5,0.24471,0.09322,2.2897,3.52363,2.74591,0.00106738,0.00106738,0.00106738
111,69.3774,0.68921,0.97477,0.93941,0.54496,0.5,0.24471,0.09322,2.2897,3.52363,2.74591,0.00106188,0.00106188,0.00106188
112,70.084,0.97057,1.3609,1.17986,0.0037,0.6,0.2201,0.10166,2.24868,3.41553,2.70183,0.00105638,0.00105638,0.00105638
113,70.6863,0.83665,1.19018,1.23206,0.0037,0.6,0.2201,0.10166,2.24868,3.41553,2.70183,0.00105088,0.00105088,0.00105088
114,71.3092,1.11121,1.33781,1.44341,0.0037,0.6,0.2201,0.10166,2.24868,3.41553,2.70183,0.00104538,0.00104538,0.00104538
115,71.8926,0.86511,1.05528,1.05343,0.0037,0.6,0.2201,0.10166,2.24868,3.41553,2.70183,0.00103987,0.00103987,0.00103987
