epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,103.402,0.81902,1.4401,1.05077,0.6938,0.55984,0.66637,0.31978,2.06535,2.4943,2.51006,0.00102337,0.00102337,0.00102337
119,104.205,0.73827,1.77855,1.10581,0.6938,0.55984,0.66637,0.31978,2.06535,2.4943,2.51006,0.00101787,0.00101787,0.00101787
120,105.026,0.9733,1.37613,1.07159,0.63551,0.33333,0.43101,0.21929,1.94837,2.54713,2.42924,0.00101237,0.00101237,0.00101237
121,105.874,0.92941,1.14351,1.00103,0.63551,0.33333,0.43101,0.21929,1.94837,2.54713,2.42924,0.00100687,0.00100687,0.00100687
122,106.713,0.69058,1.63696,1.02968,0.63551,0.33333,0.43101,0.21929,1.94837,2.54713,2.42924,0.00100137,0.00100137,0.00100137
123,107.553,1.01979,1.58654,1.09663,0.63551,0.33333,0.43101,0.21929,1.94837,2.54713,2.42924,0.000995866,0.000995866,0.000995866
124,108.415,1.0554,1.74655,1.33318,0.54269,0.33333,0.39437,0.17304,1.93425,2.65072,2.80609,0.000990365,0.000990365,0.000990365
125,109.24,0.79651,1.13637,0.97407,0.54269,0.33333,0.39437,0.17304,1.93425,2.65072,2.80609,0.000984864,0.000984864,0.000984864
126,110.144,0.89696,1.35623,1.16087,0.54269,0.33333,0.39437,0.17304,1.93425,2.65072,2.80609,0.000979362,0.000979362,0.000979362
127,110.978,0.69957,1.7413,0.94708,0.54269,0.33333,0.39437,0.17304,1.93425,2.65072,2.80609,0.000973861,0.000973861,0.000973861
128,111.96,1.80231,3.25909,1.91875,0.40765,0.311,0.31667,0.12683,2.01312,2.85714,3.06709,0.00096836,0.00096836,0.00096836
129,113.108,1.17119,1.9008,1.36406,0.40765,0.311,0.31667,0.12683,2.01312,2.85714,3.06709,0.000962859,0.000962859,0.000962859
130,113.953,0.67489,1.28778,1.00708,0.40765,0.311,0.31667,0.12683,2.01312,2.85714,3.06709,0.000957358,0.000957358,0.000957358
131,114.697,1.74388,2.17049,1.76027,0.40765,0.311,0.31667,0.12683,2.01312,2.85714,3.06709,0.000951857,0.000951857,0.000951857
132,115.555,1.08218,2.42932,1.47893,0.59851,0.33284,0.30903,0.14277,2.07561,3.11238,3.1029,0.000946356,0.000946356,0.000946356
133,116.34,1.58501,2.09345,1.65124,0.59851,0.33284,0.30903,0.14277,2.07561,3.11238,3.1029,0.000940855,0.000940855,0.000940855
134,117.218,0.8487,1.53076,1.03838,0.59851,0.33284,0.30903,0.14277,2.07561,3.11238,3.1029,0.000935354,0.000935354,0.000935354
135,118.067,0.74354,1.82915,1.15825,0.59851,0.33284,0.30903,0.14277,2.07561,3.11238,3.1029,0.000929853,0.000929853,0.000929853
136,118.961,0.61901,0.99893,0.96569,0.4014,0.29898,0.28129,0.17357,1.85022,3.02909,2.29552,0.000924352,0.000924352,0.000924352
137,119.754,0.89605,1.4643,1.14587,0.4014,0.29898,0.28129,0.17357,1.85022,3.02909,2.29552,0.00091885,0.00091885,0.00091885
138,120.477,0.77666,1.92346,1.21659,0.4014,0.29898,0.28129,0.17357,1.85022,3.02909,2.29552,0.000913349,0.000913349,0.000913349
139,121.307,0.7025,1.12056,1.00771,0.4014,0.29898,0.28129,0.17357,1.85022,3.02909,2.29552,0.000907848,0.000907848,0.000907848
140,122.207,0.84387,1.8479,1.2396,0.5,0.35502,0.42951,0.29064,1.78282,2.76324,2.16784,0.000902347,0.000902347,0.000902347
141,123.042,0.93526,1.20926,1.11514,0.5,0.35502,0.42951,0.29064,1.78282,2.76324,2.16784,0.000896846,0.000896846,0.000896846
142,123.909,1.01571,2.49142,1.21549,0.5,0.35502,0.42951,0.29064,1.78282,2.76324,2.16784,0.000891345,0.000891345,0.000891345
143,124.915,0.79833,1.05758,0.99076,0.5,0.35502,0.42951,0.29064,1.78282,2.76324,2.16784,0.000885844,0.000885844,0.000885844
144,125.808,1.30633,1.56871,1.73586,0.3648,0.34441,0.39198,0.28073,1.75345,3.24219,2.11399,0.000880343,0.000880343,0.000880343
145,126.652,0.54762,1.52218,0.83062,0.3648,0.34441,0.39198,0.28073,1.75345,3.24219,2.11399,0.000874842,0.000874842,0.000874842
146,127.743,1.08984,1.06587,1.203,0.3648,0.34441,0.39198,0.28073,1.75345,3.24219,2.11399,0.00086934,0.00086934,0.00086934
147,128.532,0.91729,1.68302,1.19196,0.3648,0.34441,0.39198,0.28073,1.75345,3.24219,2.11399,0.000863839,0.000863839,0.000863839
148,129.39,0.70125,0.85692,0.87012,0.45934,0.25,0.35676,0.2403,2.1955,3.42789,2.43534,0.000858338,0.000858338,0.000858338
149,130.226,1.08154,1.75966,1.41378,0.45934,0.25,0.35676,0.2403,2.1955,3.42789,2.43534,0.000852837,0.000852837,0.000852837
150,131.031,0.80934,1.13423,1.23539,0.45934,0.25,0.35676,0.2403,2.1955,3.42789,2.43534,0.000847336,0.000847336,0.000847336
151,131.87,1.39059,2.10011,1.40111,0.45934,0.25,0.35676,0.2403,2.1955,3.42789,2.43534,0.000841835,0.000841835,0.000841835
152,132.774,0.99906,1.47027,1.25503,0.47673,0.25,0.35456,0.20286,2.36935,3.22875,2.65335,0.000836334,0.000836334,0.000836334
153,133.595,0.83977,1.58725,1.03464,0.47673,0.25,0.35456,0.20286,2.36935,3.22875,2.65335,0.000830833,0.000830833,0.000830833
154,134.393,0.72418,1.41623,0.9093,0.47673,0.25,0.35456,0.20286,2.36935,3.22875,2.65335,0.000825332,0.000825332,0.000825332
155,135.238,1.25333,1.36411,1.13683,0.47673,0.25,0.35456,0.20286,2.36935,3.22875,2.65335,0.000819831,0.000819831,0.000819831
156,136.082,1.08116,1.81255,1.17459,0.5,0.36675,0.40473,0.21384,2.31884,2.89311,2.63452,0.000814329,0.000814329,0.000814329
157,136.915,1.05179,1.46809,1.16204,0.5,0.36675,0.40473,0.21384,2.31884,2.89311,2.63452,0.000808828,0.000808828,0.000808828
158,137.704,0.97519,1.80689,1.24067,0.5,0.36675,0.40473,0.21384,2.31884,2.89311,2.63452,0.000803327,0.000803327,0.000803327
159,138.689,0.6814,0.92717,1.02631,0.5,0.36675,0.40473,0.21384,2.31884,2.89311,2.63452,0.000797826,0.000797826,0.000797826
160,139.556,0.77747,1.08033,0.94907,0.37357,0.37072,0.39687,0.27024,2.05306,2.35708,2.40661,0.000792325,0.000792325,0.000792325
161,140.389,0.87031,2.29437,1.26128,0.37357,0.37072,0.39687,0.27024,2.05306,2.35708,2.40661,0.000786824,0.000786824,0.000786824
162,141.339,0.89579,1.71289,1.21228,0.37357,0.37072,0.39687,0.27024,2.05306,2.35708,2.40661,0.000781323,0.000781323,0.000781323
163,142.136,1.08315,1.78114,1.19444,0.37357,0.37072,0.39687,0.27024,2.05306,2.35708,2.40661,0.000775822,0.000775822,0.000775822
164,142.936,0.69977,1.56638,1.1037,0.98657,0.25,0.37399,0.27491,2.00095,2.30978,2.28108,0.000770321,0.000770321,0.000770321
165,143.763,0.8081,0.95408,0.93176,0.98657,0.25,0.37399,0.27491,2.00095,2.30978,2.28108,0.00076482,0.00076482,0.00076482
166,144.562,0.77928,0.9565,0.96186,0.98657,0.25,0.37399,0.27491,2.00095,2.30978,2.28108,0.000759318,0.000759318,0.000759318
167,145.357,1.27703,1.55449,1.70443,0.98657,0.25,0.37399,0.27491,2.00095,2.30978,2.28108,0.000753817,0.000753817,0.000753817
168,146.197,1.0856,1.19981,1.25455,0.96916,0.25,0.38754,0.29232,2.10366,2.69907,2.33296,0.000748316,0.000748316,0.000748316
169,146.942,1.02793,1.45196,1.2174,0.96916,0.25,0.38754,0.29232,2.10366,2.69907,2.33296,0.000742815,0.000742815,0.000742815
170,147.795,0.85007,1.18387,0.93116,0.96916,0.25,0.38754,0.29232,2.10366,2.69907,2.33296,0.000737314,0.000737314,0.000737314
171,148.685,0.8889,1.35126,1.23465,0.96916,0.25,0.38754,0.29232,2.10366,2.69907,2.33296,0.000731813,0.000731813,0.000731813
172,149.627,0.8088,1.09153,0.81639,0.95263,0.25,0.34915,0.26332,2.17795,3.10794,2.47806,0.000726312,0.000726312,0.000726312
173,150.418,0.90189,1.24756,1.20026,0.95263,0.25,0.34915,0.26332,2.17795,3.10794,2.47806,0.000720811,0.000720811,0.000720811
174,151.226,0.85363,1.22863,1.21794,0.95263,0.25,0.34915,0.26332,2.17795,3.10794,2.47806,0.00071531,0.00071531,0.00071531
175,152.028,0.96838,1.5684,1.65906,0.95263,0.25,0.34915,0.26332,2.17795,3.10794,2.47806,0.000709809,0.000709809,0.000709809
